,geoUID,r_external_5yr,r_inter_5yr,r_internal_5yr,r_intra_5yr,r_migrants_5yr,r_movers_5yr,r_nonMigrants_5yr,r_nonMovers_5yr
9328.000,24560253.000,0.000,0.000,1.000,1.000,0.727,0.145,1.500,0.855
9329.000,24560254.000,0.000,0.000,1.100,0.909,0.556,0.187,1.600,0.823
9330.000,24560255.000,0.000,0.000,1.000,0.968,0.721,0.406,1.333,0.594
9331.000,24560256.000,0.000,0.000,0.889,1.000,0.643,0.248,1.000,0.752
9332.000,24560257.000,0.000,0.000,1.000,0.923,0.500,0.299,1.625,0.713
9333.000,24560258.000,0.000,0.000,1.083,0.923,0.571,0.189,1.600,0.820
9334.000,24560259.000,0.000,0.000,1.333,1.000,0.158,0.196,2.286,0.804
9335.000,24560260.000,NA,NA,NA,NA,NA,NA,NA,NA
9336.000,24560261.000,0.000,0.187,1.000,0.812,0.314,0.515,2.615,0.495
9337.000,24560262.000,0.050,0.052,0.960,0.948,0.500,0.500,1.678,0.500
9338.000,24560263.000,0.000,0.667,1.000,0.500,0.500,0.154,3.000,0.846
9339.000,24560264.000,0.000,0.000,0.800,0.750,0.333,0.268,2.200,0.696
9340.000,24560265.000,0.000,0.000,1.000,0.800,0.217,0.277,1.357,0.723
9341.000,24560266.000,0.125,0.000,0.937,1.067,0.571,0.384,1.857,0.616
9342.000,24560267.000,0.000,0.000,0.000,0.000,0.000,0.032,1.000,0.968
9343.000,24560268.000,0.000,0.000,1.000,1.000,0.429,0.152,1.286,0.837
9344.000,24560269.000,0.000,0.095,1.000,0.952,0.525,0.357,0.826,0.643
9345.000,24560270.000,0.000,0.000,0.944,1.059,0.391,0.329,1.381,0.671
9346.000,24560271.000,0.000,0.136,1.000,0.864,0.423,0.272,2.308,0.723
9347.000,24560272.000,0.000,0.000,1.000,1.000,0.388,0.345,3.333,0.655
9348.000,24560273.000,0.000,0.087,0.958,0.913,0.545,0.373,1.909,0.619
9349.000,24560274.000,0.000,0.000,1.077,0.929,0.250,0.525,1.407,0.475
9350.000,24560275.000,0.000,0.250,1.000,0.750,0.533,0.156,2.667,0.844
9351.000,24560276.000,0.000,0.000,0.909,1.100,0.200,0.390,1.955,0.610
9352.000,24560277.000,0.167,0.000,0.917,1.000,0.218,0.495,1.654,0.505
9353.000,24560278.000,0.000,0.000,1.333,0.500,0.083,0.350,1.684,0.660
9354.000,24560279.000,0.182,0.000,0.909,0.900,0.250,0.423,2.286,0.577
9355.000,24560280.000,0.000,0.000,1.062,0.882,0.258,0.525,1.406,0.475
9356.000,24560281.000,0.000,0.000,0.900,1.000,0.238,0.494,1.778,0.506
9357.000,24560282.000,0.000,0.000,1.000,1.000,0.245,0.500,2.222,0.500
9358.000,24560283.000,0.000,0.000,1.000,0.923,0.448,0.453,1.231,0.531
9359.000,24560284.000,0.000,0.000,1.062,1.000,0.327,0.505,2.286,0.505
9360.000,24560285.000,0.000,0.000,1.000,1.000,0.071,0.226,1.625,0.782
9361.000,24560286.000,0.000,0.000,1.029,1.000,0.391,0.412,1.793,0.592
9362.000,24560287.000,0.000,0.119,1.000,0.881,0.284,0.460,2.465,0.540
9363.000,24560288.000,0.000,0.000,1.000,1.071,0.560,0.294,2.500,0.718
9364.000,24560289.000,0.000,0.000,0.923,1.083,0.382,0.315,3.667,0.685
9365.000,24560290.000,0.000,0.000,1.000,0.857,0.333,0.304,1.250,0.681
9366.000,24560291.000,0.000,0.000,0.818,1.000,0.355,0.397,1.692,0.603
9367.000,24560292.000,0.000,0.000,1.000,1.000,0.357,0.146,1.500,0.854
9368.000,24560293.000,0.000,0.000,1.000,1.000,0.231,0.361,3.800,0.653
9369.000,24560294.000,0.000,0.000,1.000,1.000,0.278,0.273,1.857,0.727
9370.000,24560295.000,0.000,0.000,1.000,1.000,0.344,0.649,1.538,0.351
9371.000,24560296.000,NA,NA,NA,NA,NA,NA,NA,NA
9372.000,24560297.000,0.000,0.000,0.875,1.143,0.471,0.210,0.714,0.778
9373.000,24560298.000,0.000,0.000,0.941,1.000,1.000,0.189,0.500,0.811
9374.000,24560299.000,0.000,0.000,1.000,1.000,0.550,0.247,1.800,0.753
