"","X","geoUID","r_external_5yr","r_inter_5yr","r_internal_5yr","r_intra_5yr","r_migrants_5yr","r_movers_5yr","r_nonMigrants_5yr","r_nonMovers_5yr"
"28011",28011,35210949,0.143,0,0.857,1.083,0.311,0.341,3.444,0.659
"28012",28012,35210951,0,0,0.875,1.143,0.571,0.286,3.5,0.714
"28013",28013,35210952,0.5,0,0.5,0.75,0.4,0.174,3,0.826
"28014",28014,35210953,0.143,0,0.857,1,0.583,0.267,0.818,0.744
"28015",28015,35210954,0.333,0,0.833,1,0.222,0.321,5,0.679
"28016",28016,35210955,0.286,0,0.857,0.833,0.333,0.194,0.867,0.796
"28017",28017,35210956,0.222,0,0.667,1,0.36,0.41,1.455,0.574
"28018",28018,35210957,0.2,0.125,0.8,0.906,0.417,0.49,2.75,0.51
"28019",28019,35210958,0,0,1,0.833,0.353,0.27,1.25,0.746
"28020",28020,35210959,0.083,0.045,0.917,0.955,0.539,0.377,1.708,0.623
"28021",28021,35210961,0.229,0.054,0.771,0.946,0.49,0.367,1.109,0.629
"28022",28022,35210964,0.348,0,0.652,1,0.511,0.378,2,0.613
"28023",28023,35210967,0,0,0.667,1,1,0.059,0,0.941
"28024",28024,35210970,0.625,0,0.5,0.75,0.615,0.22,1.25,0.763
"28025",28025,35210972,0.273,0,0.818,0.889,0.367,0.252,1.9,0.756
"28026",28026,35210973,0,0,0.667,1,0.375,0.16,2e+05,0.84
"28027",28027,35210974,0,0.067,1,0.933,0.616,0.349,1.5,0.651
"28028",28028,35210975,0.5,0.231,0.464,0.846,0.467,0.513,1.333,0.496
"28029",28029,35210976,0.622,0.097,0.378,0.871,0.474,0.542,2.275,0.458
"28030",28030,35210977,0.344,0,0.625,1.05,0.508,0.492,1.55,0.516
"28031",28031,35210981,0.278,0,0.722,1,0.367,0.358,1.875,0.642
"28032",28032,35210984,0.071,0.074,0.964,0.926,0.368,0.345,2.611,0.655
"28033",28033,35210985,0.393,0,0.643,1,0.509,0.482,1.04,0.526
"28034",28034,35210989,0.286,0.08,0.714,0.92,0.593,0.461,1.316,0.531
"28035",28035,35210993,0,0,1,1,0.2,0.154,4e+05,0.846
"28036",28036,35210996,0.2,0.125,0.8,0.937,0.465,0.331,1.437,0.669
"28037",28037,35210997,0.244,0.057,0.778,0.914,0.542,0.399,2.176,0.606
"28038",28038,35210998,0.462,0,0.538,1,0.382,0.254,1.5,0.739
"28039",28039,35210999,0,0,0,0,0,0.141,5e+05,0.859
"28040",28040,35211000,0.25,0,0.75,1,0.5,0.178,1,0.822
